xiaoqu_id,xiaoqu_info,louming_id,louming_info,louceng_id,louceng_info,fangjian_value,fangjian_info
3,苍梧校区B区,2037,D6,2468,三层,3853,D6-301
3,苍梧校区B区,2037,D6,2468,三层,3854,D6-302
3,苍梧校区B区,2037,D6,2468,三层,3855,D6-303
3,苍梧校区B区,2037,D6,2468,三层,3856,D6-304
3,苍梧校区B区,2037,D6,2468,三层,3857,D6-305
3,苍梧校区B区,2037,D6,2468,三层,3858,D6-306
3,苍梧校区B区,2037,D6,2468,三层,3859,D6-307
3,苍梧校区B区,2037,D6,2468,三层,3860,D6-308
3,苍梧校区B区,2037,D6,2468,三层,3861,D6-309
3,苍梧校区B区,2037,D6,2468,三层,3862,D6-310
3,苍梧校区B区,2037,D6,2468,三层,3863,D6-311
3,苍梧校区B区,2037,D6,2468,三层,3864,D6-312
3,苍梧校区B区,2037,D6,2468,三层,3865,D6-313
3,苍梧校区B区,2037,D6,2468,三层,3866,D6-314
3,苍梧校区B区,2037,D6,2468,三层,3867,D6-315
3,苍梧校区B区,2037,D6,2468,三层,3868,D6-316
3,苍梧校区B区,2037,D6,2468,三层,3869,D6-317
3,苍梧校区B区,2037,D6,2468,三层,3870,D6-318
3,苍梧校区B区,2037,D6,2468,三层,3871,D6-319
3,苍梧校区B区,2037,D6,2468,三层,3872,D6-320
3,苍梧校区B区,2037,D6,2468,三层,3873,D6-321
3,苍梧校区B区,2037,D6,2468,三层,3874,D6-322
3,苍梧校区B区,2037,D6,2468,三层,3875,D6-323
3,苍梧校区B区,2037,D6,2468,三层,3876,D6-324
3,苍梧校区B区,2037,D6,2468,三层,3877,D6-325
3,苍梧校区B区,2037,D6,2468,三层,3878,D6-326
3,苍梧校区B区,2037,D6,2468,三层,3879,D6-327
3,苍梧校区B区,2037,D6,2468,三层,3880,D6-328
3,苍梧校区B区,2037,D6,2468,三层,3881,D6-329
